"id","date","bank_category","bank_name","atms_crms_onsite","atms_crms_offsite","pos","micro_atms","bharat_qr","upi_qr","credit_cards","debit_cards","cc_pay_trns_at_pos_vol","cc_pay_trns_at_pos_val","cc_pay_trns_online_vol","cc_pay_trns_online_val","cc_pay_trns_other_vol","cc_pay_trns_other_val","cc_cash_withdraw_atm_val","cc_cash_withdraw_atm_vol","dc_pay_trns_at_pos_vol","dc_pay_trns_at_pos_val","dc_pay_trns_online_vol","dc_pay_trns_online_val","dc_pay_trns_other_vol","dc_pay_trns_other_val","dc_cash_withdraw_atm_val","dc_cash_withdraw_atm_vol","dc_cash_withdraw_pos_val","dc_cash_withdraw_pos_vol"
29,"2022-03-01","Private Sector Banks","IDFC First Bank",505.0,214.0,26560.0,11522.0,0.0,38079.0,799219.0,4076204.0,1367730.0,4899089.81,1325904.0,7584240.96,0.0,0.0,11799.0,43601.4,1414101.0,2015650.27,508390.0,1428377.38,0.0,0.0,3103785.0,12878265.33,0.0,0.0
30,"2022-03-01","Payment Banks","India Post Payments Bank",0.0,0.0,0.0,135092.0,0.0,0.0,0.0,4788986.0,"","","","","","","","",0.0,0.0,389128.0,240570.97,0.0,0.0,0.0,0.0,0.0,0.0
31,"2022-03-01","Public Sector Banks","Indian Bank",4299.0,626.0,14981.0,9322.0,0.0,356603.0,154342.0,26961021.0,129022.0,378092.66,73904.0,237320.61,0.0,0.0,3511.0,22363.77,6087414.0,10556403.98,3068094.0,4255370.5,6422.0,102363.19,21419031.0,99716221.7,32990.0,32410.1
32,"2022-03-01","Public Sector Banks","Indian Overseas Bank",2742.0,613.0,0.0,0.0,0.0,81152.0,74083.0,20508718.0,59749.0,142499.79,26426.0,63550.33,0.0,0.0,867.0,4013.25,3664568.0,6294023.61,1386870.0,2078848.13,0.0,0.0,15137144.0,64870005.33,0.0,0.0
33,"2022-03-01","Private Sector Banks","IndusInd Bank",1492.0,1275.0,220160.0,164.0,35908.0,68715.0,1880393.0,6910699.0,2254748.0,10802314.23,2542328.0,45782776.38,0.0,0.0,18246.0,92623.22,1758336.0,3496811.47,1170562.0,3541164.98,1017.0,83630.76,5623319.0,27508947.58,0.0,0.0
34,"2022-03-01","Private Sector Banks","Jammu & Kashmir Bank",840.0,613.0,10948.0,945.0,0.0,32064.0,82096.0,3457424.0,145394.0,910884.73,112520.0,287848.82,0.0,0.0,7074.0,27799.0,1236554.0,2919949.84,3462733.0,1602698.11,0.0,0.0,6298900.0,31721952.85,6.0,5.9
35,"2022-03-01","Small Finance Banks","Jana Small Finance Bank",65.0,2.0,0.0,164.0,0.0,493552.0,0.0,2345835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66760.0,93390.33,17613.0,33770.25,0.0,0.0,311964.0,1532327.8,0.0,0.0
36,"2022-03-01","Payment Banks","Jio Payments Bank",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"2022-03-01","Private Sector Banks","Karnataka Bank",819.0,629.0,9312.0,0.0,0.0,28511.0,0.0,5113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892513.0,2748661.34,491340.0,758620.53,0.0,0.0,4554359.0,20083708.12,0.0,0.0
38,"2022-03-01","Private Sector Banks","Karur Vysya Bank",1362.0,861.0,8745.0,0.0,0.0,14391.0,6691.0,4066117.0,15483.0,76127.51,3962.0,40563.18,0.0,0.0,284.0,2103.86,2047824.0,3988487.27,557806.0,1301885.98,11382.0,235964.58,5308872.0,25548660.91,0.0,0.0
